epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.5285714268684387,9.999999747378752e-06,0.8464797735214233,0.5,0.7266209125518799
1,0.522857129573822,9.999999747378752e-06,0.8661035299301147,0.5,0.8196331262588501
2,0.488571435213089,4.999999873689376e-06,0.859265923500061,0.5,0.9021177291870117
3,0.5128571391105652,4.999999873689376e-06,0.8558251857757568,0.5,0.9227926135063171
4,0.46000000834465027,2.499999936844688e-06,0.9080360531806946,0.5,0.9423067569732666
0,0.477142870426178,9.999999747378752e-05,0.7717665433883667,0.5,0.7231888771057129
1,0.5171428322792053,9.999999747378752e-05,0.7486899495124817,0.5,0.7059953808784485
2,0.5042856931686401,9.999999747378752e-05,0.741955041885376,0.5,0.7097179293632507
3,0.5114285945892334,9.999999747378752e-05,0.7424287796020508,0.5,0.7115094661712646
4,0.49714285135269165,9.999999747378752e-05,0.7387319803237915,0.5,0.7561187148094177
5,0.5071428418159485,4.999999873689376e-05,0.7581357359886169,0.5,0.698371171951294
0,0.5471428632736206,9.999999747378752e-05,0.7713950872421265,0.5,0.69448322057724
1,0.5271428823471069,9.999999747378752e-05,0.7658670544624329,0.5,0.6949260830879211
2,0.4699999988079071,9.999999747378752e-05,0.7912032604217529,0.5,0.6937825083732605
3,0.46857142448425293,9.999999747378752e-05,0.7646503448486328,0.5,0.6936443448066711
4,0.4985714256763458,9.999999747378752e-05,0.751044750213623,0.5,0.6980689764022827
5,0.4642857015132904,9.999999747378752e-05,0.7754767537117004,0.5,0.6938654184341431
0,0.4714285731315613,9.999999747378752e-05,0.7947237491607666,0.5,0.7101485133171082
1,0.5028571486473083,9.999999747378752e-05,0.7485611438751221,0.5,0.7052844166755676
2,0.4814285635948181,9.999999747378752e-05,0.7429027557373047,0.5,0.695554256439209
3,0.5242857336997986,9.999999747378752e-05,0.7274182438850403,0.5,0.6931888461112976
4,0.5242857336997986,9.999999747378752e-05,0.7241049408912659,0.5,0.6935134530067444
5,0.5114285945892334,9.999999747378752e-05,0.7569980025291443,0.5,0.69355708360672
0,0.5014285445213318,9.999999747378752e-05,0.7850788235664368,0.5,0.6932080984115601
1,0.47999998927116394,9.999999747378752e-05,0.7626082897186279,0.5,0.6937235593795776
2,0.4942857027053833,9.999999747378752e-05,0.7523357272148132,0.5,0.698073148727417
3,0.49142858386039734,9.999999747378752e-05,0.7419885993003845,0.5,0.6937514543533325
4,0.47999998927116394,4.999999873689376e-05,0.7669651508331299,0.5,0.6947141885757446
5,0.5128571391105652,4.999999873689376e-05,0.7399479746818542,0.5,0.6933156251907349
0,0.8914285898208618,9.999999747378752e-05,0.2624731957912445,1.0,0.12330640852451324
1,0.9985714554786682,9.999999747378752e-05,0.006096086464822292,1.0,0.06602608412504196
2,1.0,9.999999747378752e-05,0.0022777854464948177,1.0,0.04489515349268913
3,0.9985714554786682,9.999999747378752e-05,0.003044718410819769,1.0,0.030986247584223747
4,1.0,9.999999747378752e-05,0.0020358788315206766,1.0,0.020917696878314018
5,1.0,9.999999747378752e-05,0.00198267656378448,1.0,0.01344472635537386
